city,state,area,time,number,lat,lon
New York,New York,3122,50.085955188422226,23,40.7127837,-74.0059413
Los Angeles,California,930.0,7.4399365026773046,4,34.0522342,-118.2436849
Chicago,Illinois,285,12.21292117214078,6,41.8781136,-87.6297982
Houston,Texas,,,0,29.7604267,-95.3698028
Philadelphia,Pennsylvania,2529.0,38.16433292313873,15,39.9525839,-75.1652215
Phoenix,Arizona,,,0,33.4483771,-112.0740373
San Antonio,Texas,,,0,29.4241219,-98.49362819999999
San Diego,California,,,0,32.715738,-117.1610838
Dallas,Texas,,,0,32.7766642,-96.79698789999999
San Jose,California,240,1.7584038084147078,1,37.3382082,-121.8863286
Austin,Texas,,,0,30.267153,-97.7430608
Jacksonville,Florida,,,0,30.3321838,-81.65565099999999
San Francisco,California,240,2.6131242984665675,1,37.7749295,-122.4194155
Indianapolis,Indiana,185,5.450400034683861,2,39.768403,-86.158068
Columbus,Ohio,224,3.520304602314028,2,39.9611755,-82.99879419999999
Fort Worth,Texas,,,0,32.7554883,-97.3307658
Charlotte,North Carolina,77,4.435140054140641,2,35.2270869,-80.8431267
Detroit,Michigan,1073,8.458576921158226,6,42.331427,-83.0457538
El Paso,Texas,560,2.9756918477571626,1,31.7618778,-106.4850217
Seattle,Washington,10946,12.111507912845402,7,47.6062095,-122.3320708
Denver,Colorado,17423,16.612956562514825,9,39.7392358,-104.990251
Washington,District of Columbia,248,8.273433272569724,3,38.9071923,-77.0368707
Memphis,Tennessee,,,0,35.1495343,-90.0489801
Boston,Massachusetts,2411,31.471039470890876,17,42.3600825,-71.0588801
Nashville-Davidson,Tennessee,,,0,36.1626638,-86.7816016
Baltimore,Maryland,223,4.438669808470442,2,39.2903848,-76.6121893
Oklahoma City,Oklahoma,,,0,35.4675602,-97.5164276
Portland,Oregon,4525,4.797105864888348,3,45.5230622,-122.6764816
Las Vegas,Nevada,2535,1.204224566813559,2,36.1699412,-115.1398296
Louisville/Jefferson County,Kentucky,185,3.8487835959463386,2,38.2526647,-85.7584557
Milwaukee,Wisconsin,904,26.2927596914036,12,43.0389025,-87.9064736
Albuquerque,New Mexico,1340,6.634025491155986,4,35.0853336,-106.6055534
Tucson,Arizona,,,0,32.2217429,-110.926479
Fresno,California,3140,12.45817602975464,5,36.7468422,-119.7725868
Sacramento,California,25167,36.88766509420649,14,38.5815719,-121.4943996
Long Beach,California,930.0,8.273026556542028,4,33.7700504,-118.1937395
Kansas City,Missouri,30,0.8877160991441336,1,39.0997265,-94.5785667
Mesa,Arizona,,,0,33.4151843,-111.8314724
Atlanta,Georgia,,,0,33.7489954,-84.3879824
Virginia Beach,Virginia,,,0,36.8529263,-75.97798499999999
Omaha,Nebraska,730,0.9678785590416306,2,41.2523634,-95.99798829999999
Colorado Springs,Colorado,17817,24.823254080998392,9,38.8338816,-104.8213634
Raleigh,North Carolina,270,4.589118044222035,3,35.7795897,-78.6381787
Miami,Florida,,,0,25.7616798,-80.1917902
Oakland,California,240,2.366059738507441,1,37.8043637,-122.2711137
Minneapolis,Minnesota,696,10.432960378056261,8,44.977753,-93.2650108
Tulsa,Oklahoma,,,0,36.1539816,-95.99277500000001
Cleveland,Ohio,1045,15.418813812520307,8,41.49932,-81.6943605
Wichita,Kansas,,,0,37.68717609999999,-97.33005299999999
New Orleans,Louisiana,,,0,29.95106579999999,-90.0715323
Arlington,Texas,,,0,32.735687,-97.10806559999999
Bakersfield,California,,,0,35.3732921,-119.0187125
Tampa,Florida,,,0,27.950575,-82.4571776
Aurora,Colorado,17423,18.946718424148614,9,39.7294319,-104.8319195
Honolulu,Hawaii,,,0,21.3069444,-157.8583333
Anaheim,California,930.0,6.402451941002541,4,33.8352932,-117.9145036
Santa Ana,California,930.0,6.7535385311683775,4,33.7455731,-117.8678338
Corpus Christi,Texas,,,0,27.8005828,-97.39638099999999
