ID,wthr,dscr,temp,pres,humd,spd,rain,snow
1,Rain,moderate rain,40.12,920.68,96,9.24,3.71,0
2,Rain,light rain,49.89,979.45,95,8.9,0.24,0
3,Rain,moderate rain,36.16,941.19,100,5.99,3.5775,0
4,Rain,light rain,46.06,979.85,87,5.39,0.4775,0
5,Rain,light rain,52.81,989.26,91,9.31,1.7,0
6,Rain,light rain,43.14,990.23,100,6.22,0.1075,0
7,Rain,light rain,47.05,989.34,96,10.54,1.08,0
8,Rain,light rain,38.23,805.57,69,3.09,0.125,0
9,Clouds,few clouds,31.62,925.62,79,2.08,0,0
10,Clouds,broken clouds,51.55,969.96,90,11.1,0,0
11,Clear,clear sky,36.39,749.56,51,6.73,0,0
12,Rain,light rain,34.41,855.1,99,2.3,1.965,0
13,Fog,fog,58.08,1014,100,3.2,0,0
14,Rain,light rain,43.47,1008,100,9.17,0,0
15,Clouds,broken clouds,36.88,1016,50,4.7,0,0
16,Clouds,scattered clouds,46.51,808.33,32,11.36,0,0
17,Clouds,overcast clouds,28.06,692.25,72,3.49,0,0
18,Clear,clear sky,33.13,1024,54,3.49,0,0
19,Clouds,broken clouds,30.22,760.59,92,3.53,0,0
20,Rain,light rain,48.15,1019,66,6.93,0,0
21,Clouds,few clouds,46.87,885.34,74,2.08,0,0
22,Rain,heavy intensity rain,46.51,936.65,99,9.8,12.1,0
23,Rain,light rain,31.66,739.11,72,2.08,0.1675,0
24,Clouds,overcast clouds,51.8,1009,43,5.82,0,0
25,Rain,light rain,58.39,952.78,99,3.2,2.075,0
26,Clouds,overcast clouds,48.94,1005.71,54,3.76,0,0
27,Clouds,broken clouds,43.59,999.15,37,3.83,0,0
28,Rain,light rain,46.06,979.85,87,5.39,0.4775,0
29,Clouds,broken clouds,46.51,967.61,73,7.29,0,0
30,Clouds,broken clouds,30.04,770.15,72,7.11,0,0
31,Clear,clear sky,20.77,992.17,62,4.72,0,0
32,Rain,light rain,47.59,992.17,96,4.5,2.3425,0
33,Clouds,broken clouds,46.51,967.61,73,7.29,0,0
34,Clear,clear sky,19.92,969.32,71,1.97,0,0
35,Rain,light rain,37.15,869.53,94,4.32,0.9475,0
36,Clouds,overcast clouds,47.05,997.85,39,4.72,0,0
37,Clouds,broken clouds,45.21,1026.87,43,3.98,0,0
38,Rain,light rain,45.79,963.88,97,7.63,1.08,0
39,Rain,light rain,44.04,998.74,97,5.55,1.645,0
40,Rain,light rain,40.57,893.77,75,9.42,0.8875,0
41,Rain,moderate rain,43.41,902.36,93,5.61,3.04,0
42,Clouds,scattered clouds,29.82,1009.36,66,2.08,0,0
43,Rain,moderate rain,37.11,831.19,97,10.76,7.0275,0
44,Rain,light rain,52.81,989.26,91,9.31,1.7,0
45,Clouds,overcast clouds,43.72,984.64,36,4.5,0,0
46,Rain,light rain,37.06,999.71,96,16.46,2.2425,0
47,Rain,moderate rain,38.68,982.04,98,12.82,4.3825,0
48,Clouds,broken clouds,43.36,1025.81,46,4.09,0,0
49,Rain,light rain,52.81,989.26,91,9.31,1.7,0
50,Clouds,overcast clouds,44.8,1013.33,59,6.62,0,0
51,Clouds,broken clouds,26.71,697.2,63,2.08,0,0
52,Clear,clear sky,19.92,969.32,71,1.97,0,0
53,Clouds,scattered clouds,38.32,783.77,51,5.84,0,0
54,Clouds,scattered clouds,38.14,818.14,49,10.76,0,0
55,Rain,light rain,38.23,805.57,69,3.09,0.125,0
56,Clouds,overcast clouds,46.87,981.47,65,7.11,0,0
57,Clouds,overcast clouds,38.91,991.36,51,2.37,0,0
58,Clouds,overcast clouds,46.96,983.01,84,11.25,0,0
59,Clouds,broken clouds,37.4,1001,74,17.22,0,0
60,Rain,moderate rain,56.41,980.34,100,2.82,5.4775,0
61,Rain,light rain,50.74,980.58,96,8.9,0.2325,0
62,Rain,light rain,48.09,964.7,98,13.27,0.7475,0
63,Clouds,broken clouds,47.59,977.99,76,8.9,0,0
64,Rain,light rain,40.71,978.88,98,8.63,2.3125,0
65,Clear,clear sky,35.67,1027.19,42,6.22,0,0
66,Rain,light rain,46.06,979.85,87,5.39,0.4775,0
67,Clouds,overcast clouds,48.94,1005.71,54,3.76,0,0
68,Rain,moderate rain,54.7,937.3,100,7.29,3.9975,0
69,Clear,clear sky,19.92,969.32,71,1.97,0,0
70,Rain,light rain,44.76,992.17,97,10.76,1.55,0
71,Clouds,overcast clouds,45.57,987.96,83,9.01,0,0
72,Rain,light rain,55.11,915.65,98,2.53,0.1125,0
73,Clouds,overcast clouds,46.02,1008.95,41,3.71,0,0
74,Clouds,broken clouds,46.29,985.93,91,7.4,0,0
75,Clouds,overcast clouds,46.56,973.13,80,8.3,0,0
76,Mist,mist,44.6,1006,93,5.82,0,0
77,Clouds,scattered clouds,47.23,982.29,90,7.29,0,0
78,Rain,moderate rain,35.53,930.33,95,6.51,3.095,0
79,Clouds,broken clouds,26.71,697.2,63,2.08,0,0
80,Clear,clear sky,33.13,1024,54,3.49,0,0
81,Clear,clear sky,32.29,725.57,51,8.3,0,0
82,Clouds,broken clouds,40.12,998.58,44,2.98,0,0
83,Rain,light rain,41.97,997.93,88,8.34,0.3825,0
84,Rain,moderate rain,36.16,941.19,100,5.99,3.5775,0
85,Clouds,broken clouds,35.22,986.34,50,1.86,0,0
86,Rain,light rain,38.23,805.57,69,3.09,0.125,0
87,Clouds,overcast clouds,45.21,985.69,83,8.3,0,0
88,Rain,heavy intensity rain,39.18,1011,100,16.11,0,0
89,Rain,light rain,34,802.41,68,4.83,0.2075,0
90,Rain,heavy intensity rain,46.51,936.65,99,9.8,12.1,0
91,Rain,moderate rain,37.11,831.19,97,10.76,7.0275,0
92,Clouds,overcast clouds,42.91,988.69,40,6.51,0,0
93,Clear,clear sky,35.67,963.15,91,2.04,0,0
94,Clouds,scattered clouds,42.55,816.11,48,10.31,0,0
95,Rain,light rain,44.04,998.74,97,5.55,1.645,0
96,Clear,clear sky,30.81,715.92,51,3.27,0,0
97,Rain,light rain,46.06,979.85,87,5.39,0.4775,0
98,Rain,light rain,40.26,808.33,61,14.38,0.12,0
99,Rain,light rain,49.93,983.5,96,9.31,1.1425,0
100,Clear,clear sky,36.39,749.56,51,6.73,0,0
101,Rain,light rain,48.76,996.07,100,5.39,0.4575,0
102,Rain,moderate rain,45.16,966.07,96,10.92,3.075,0
103,Clear,clear sky,37.38,1021,51,5.82,0,0
104,Rain,light rain,43.14,990.23,100,6.22,0.1075,0
105,Rain,light rain,35.67,829.16,95,11.1,1.125,0
106,Clouds,broken clouds,43.59,999.15,37,3.83,0,0
107,Rain,light rain,44.76,982.04,93,10.76,0.4525,0
108,Clouds,scattered clouds,38.91,837.76,48,8.34,0,0
109,Clouds,overcast clouds,46.92,982.04,64,6.06,0,0
110,Clouds,few clouds,29.91,994.44,57,3.49,0,0
111,Rain,moderate rain,33.82,801.93,99,6.78,4.0375,0
112,Clouds,overcast clouds,40.39,1008.39,59,2.19,0,0
113,Rain,moderate rain,54.97,996.23,100,1.52,5.84,0
114,Clouds,few clouds,31.71,987.88,71,2.53,0,0
115,Clouds,few clouds,42.1,798.2,36,14.67,0,0
116,Clouds,overcast clouds,48.94,1005.71,54,3.76,0,0
117,Clouds,overcast clouds,44.44,960.97,91,8.57,0,0
118,Clouds,overcast clouds,44.44,960.97,91,8.57,0,0
119,Rain,heavy intensity rain,40.62,876.5,100,8.34,16.8575,0
120,Clouds,overcast clouds,32.52,875.61,85,5.39,0,0
121,Clouds,broken clouds,34.45,745.51,57,4.09,0,0
122,Clouds,overcast clouds,44.89,974.18,42,2.98,0,0
123,Clouds,overcast clouds,46.87,981.47,65,7.11,0,0
124,Rain,light rain,50.74,980.58,96,8.9,0.2325,0
125,Clouds,broken clouds,44.08,962.75,77,8.34,0,0
126,Rain,light rain,46.06,979.85,87,5.39,0.4775,0
127,Clouds,overcast clouds,30.72,781.5,84,5.73,0,0
128,Clouds,few clouds,28.29,987.96,63,2.04,0,0
129,Clouds,overcast clouds,43.72,984.64,36,4.5,0,0
