ID,City,State
1,New York,New York
2,Los Angeles,California
3,Chicago,Illinois
4,Houston,Texas
5,Philadelphia,Pennsylvania
6,Phoenix,Arizona
7,San Antonio,Texas
8,San Diego,California
9,Dallas,Texas
10,San Jose,California
11,Austin,Texas
12,Jacksonville,Florida
13,San Francisco,California
14,Indianapolis,Indiana
15,Columbus,Ohio
16,Fort Worth,Texas
17,Charlotte,North Carolina
18,Detroit,Michigan
19,El Paso,Texas
20,Seattle,Washington
21,Denver,Colorado
22,Washington,District of Columbia
23,Memphis,Tennessee
24,Boston,Massachusetts
25,Nashville-Davidson,Tennessee
26,Baltimore,Maryland
27,Oklahoma City,Oklahoma
28,Portland,Oregon
29,Las Vegas,Nevada
30,Louisville/Jefferson County,Kentucky
31,Milwaukee,Wisconsin
32,Albuquerque,New Mexico
33,Tucson,Arizona
34,Fresno,California
35,Sacramento,California
36,Long Beach,California
37,Kansas City,Missouri
38,Mesa,Arizona
39,Atlanta,Georgia
40,Virginia Beach,Virginia
41,Omaha,Nebraska
42,Colorado Springs,Colorado
43,Raleigh,North Carolina
44,Miami,Florida
45,Oakland,California
46,Minneapolis,Minnesota
47,Tulsa,Oklahoma
48,Cleveland,Ohio
49,Wichita,Kansas
50,New Orleans,Louisiana
51,Arlington,Texas
52,Bakersfield,California
53,Tampa,Florida
54,Aurora,Colorado
55,Honolulu,Hawaii
56,Anaheim,California
57,Santa Ana,California
58,Corpus Christi,Texas
59,Riverside,California
60,St. Louis,Missouri
61,Lexington-Fayette,Kentucky
62,Pittsburgh,Pennsylvania
63,Stockton,California
64,Anchorage,Alaska
65,Cincinnati,Ohio
66,St. Paul,Minnesota
67,Greensboro,North Carolina
68,Toledo,Ohio
69,Newark,New Jersey
70,Plano,Texas
71,Henderson,Nevada
72,Lincoln,Nebraska
73,Orlando,Florida
74,Jersey City,New Jersey
75,Chula Vista,California
76,Buffalo,New York
77,Fort Wayne,Indiana
78,Chandler,Arizona
79,St. Petersburg,Florida
80,Laredo,Texas
81,Durham,North Carolina
82,Irvine,California
83,Madison,Wisconsin
84,Norfolk,Virginia
85,Lubbock,Texas
86,Gilbert,Arizona
87,Winston-Salem,North Carolina
88,Glendale,Arizona
89,Reno,Nevada
90,Hialeah,Florida
91,Garland,Texas
92,Chesapeake,Virginia
93,Irving,Texas
94,North Las Vegas,Nevada
95,Scottsdale,Arizona
