,city,state,area,time,number,lat,lon,avg_time,score
344,Sandy,Utah,29428.0,13.736186198980914,13,40.564978100000005,-111.8389726,1.0566297076139164,27850.81640989858
771,Murray,Utah,29428.0,14.089012254796893,13,40.6668916,-111.8879909,1.0837701734459149,27153.358452772176
813,Draper,Utah,29428.0,14.346783320558533,13,40.5246711,-111.8638226,1.103598716966041,26665.489500478943
123,Salt Lake City,Utah,29428.0,14.359361631390836,13,40.760779299999996,-111.89104740000002,1.1045662793377566,26642.13144153158
591,Taylorsville,Utah,29428.0,14.747877240178713,13,40.66772479999999,-111.93882579999999,1.1344520953983626,25940.275591510424
251,West Jordan,Utah,29428.0,14.856634582881806,13,40.6096698,-111.9391031,1.142818044837062,25750.380940297207
564,South Jordan,Utah,29428.0,14.948716463541706,13,40.5621704,-111.929658,1.149901266426285,25591.762405356472
855,Bountiful,Utah,29428.0,15.06009676387033,13,40.8893895,-111.880771,1.1584689818361793,25402.49282579536
894,Riverton,Utah,29428.0,15.365790241473707,13,40.521893,-111.9391023,1.1819838647287466,24897.124976197058
472,Layton,Utah,28778.0,13.871142226947324,12,41.0602216,-111.9710529,1.155928518912277,24896.003108462068
192,West Valley City,Utah,29428.0,15.594161484855269,13,40.691613200000006,-112.00105009999999,1.1995508834504052,24532.51496539512
236,Provo,Utah,28964.0,14.28168538361025,12,40.233843799999995,-111.6585337,1.1901404486341876,24336.623491151204
654,Lehi,Utah,29428.0,15.805968707946944,13,40.3916172,-111.8507662,1.2158437467651495,24203.76802388923
336,Orem,Utah,29428.0,16.219229305586573,13,40.2968979,-111.69464750000002,1.2476330235066595,23587.06402086745
682,Carson City,Nevada,26215.0,17.33964284304717,15,39.1637984,-119.76740339999999,1.155976189536478,22677.8027413451
981,Roy,Utah,28778.0,15.260357213999002,12,41.1616108,-112.02633130000001,1.2716964344999169,22629.61444200061
383,Ogden,Utah,28778.0,15.334192021696662,12,41.223,-111.9738304,1.2778493351413884,22520.65185510766
88,Reno,Nevada,26127.0,17.602143313492515,14,39.529632899999996,-119.8138027,1.2572959509637511,20780.31030003155
989,Spanish Fork,Utah,28964.0,16.89202950972419,12,40.114955,-111.654923,1.407669125810349,20575.857968985696
319,Sparks,Nevada,26127.0,18.610335813002187,14,39.5349112,-119.7526886,1.3293097009287276,19654.56204957074
769,Logan,Utah,30378.0,30.168200891820607,14,41.7369803,-111.83383590000001,2.1548714922729006,14097.360380390062
277,Boulder,Colorado,26060.0,26.086658378162326,13,40.0149856,-105.2705456,2.0066660290894096,12986.715089718033
168,Lakewood,Colorado,22970.0,18.459198672189707,10,39.7047095,-105.08137340000002,1.8459198672189707,12443.660425306643
447,Folsom,California,26367.0,32.72491474864087,15,38.6779591,-121.17605829999998,2.1816609832427245,12085.745770091766
594,Rocklin,California,26367.0,33.045986647994326,15,38.7907339,-121.2357828,2.203065776532955,11968.32172732251
817,Lincoln,California,26367.0,33.772535612711685,15,38.891565,-121.29300790000002,2.251502374180779,11710.847078095474
829,Littleton,Colorado,23770.0,22.7698111302377,11,39.613321,-105.0166498,2.0699828300216088,11483.187036750378
204,Roseville,California,26367.0,34.4587038176413,15,38.752123499999996,-121.28800590000002,2.297246921176087,11477.651686872774
371,Citrus Heights,California,26367.0,34.67027470478743,15,38.7071247,-121.2810611,2.3113516469858286,11407.610795347602
493,Rancho Cordova,California,25167.0,32.98156899155873,14,38.5890723,-121.302728,2.3558263565399096,10682.875641549284
241,Arvada,Colorado,17423.0,15.29784832172646,9,39.802764399999994,-105.08748419999999,1.6997609246362735,10250.2650504972
572,Broomfield,Colorado,20438.0,22.21344651461469,11,39.9205411,-105.0866504,2.0194042286013354,10120.806775845773
246,Westminster,Colorado,17423.0,16.123112784821238,9,39.836652799999996,-105.03720459999998,1.7914569760912487,9725.603367832458
150,Elk Grove,California,25167.0,36.318686645496214,14,38.4087993,-121.37161780000001,2.5941919032497296,9701.286928107917
537,Yuba City,California,25265.0,34.140237135271235,13,39.1404477,-121.6169108,2.6261720873285563,9620.466275574703
34,Sacramento,California,25167.0,36.88766509420649,14,38.5815719,-121.49439960000001,2.634833221014749,9551.648202730446
20,Denver,Colorado,17423.0,16.612956562514825,9,39.739235799999996,-104.990251,1.8458840625016473,9438.837657218492
719,West Sacramento,California,25167.0,37.632852306926964,14,38.5804609,-121.53023400000001,2.6880608790662115,9362.511167806068
345,Longmont,Colorado,20513.0,26.7507317581782,12,40.167206799999995,-105.10192749999999,2.22922764651485,9201.841737459967
964,Northglenn,Colorado,17423.0,17.16592337017596,9,39.8961821,-104.98114679999999,1.90732481890844,9134.783874920247
196,Thornton,Colorado,17423.0,17.181978386623086,9,39.8680412,-104.9719243,1.9091087096247874,9126.248239380922
723,Commerce City,Colorado,17423.0,17.55322244479101,9,39.8083196,-104.9338675,1.9503580494212234,8933.231518782075
268,Centennial,Colorado,17423.0,18.42333076262424,9,39.5807452,-104.87717260000001,2.0470367514026933,8511.327404386471
469,Loveland,Colorado,20113.0,26.23247896343924,11,40.397761200000005,-105.0749801,2.384770814858113,8433.934143561157
523,Davis,California,25167.0,42.3337902129573,14,38.5449065,-121.74051670000001,3.0238421580683785,8322.855058041987
53,Aurora,Colorado,17423.0,18.946718424148614,9,39.729431899999994,-104.8319195,2.1051909360165126,8276.208918592522
550,Lodi,California,21385.0,28.72537513706304,11,38.1341477,-121.27221940000001,2.6113977397330035,8189.1010605632455
638,Woodland,California,24305.0,38.806753637027896,13,38.67851570000001,-121.7732971,2.985134895155992,8142.01061380508
660,Castle Rock,Colorado,18223.0,22.756207567089575,10,39.372212100000006,-104.8560902,2.2756207567089577,8007.924847000613
158,Fort Collins,Colorado,20113.0,28.253384919948967,11,40.5852602,-105.084423,2.568489538177179,7830.6723469366025
750,Parker,Colorado,17423.0,20.310932771607945,9,39.5186002,-104.76136329999999,2.2567703079564385,7720.324899070903
732,Sammamish,Washington,10946.0,10.544181845145284,7,47.61626829999999,-122.0355736,1.506311692163612,7266.7563140783695
613,Redmond,Washington,10946.0,11.18483901078984,7,47.6739881,-122.12151200000001,1.5978341443985487,6850.523277633585
306,Renton,Washington,10946.0,11.335639892481812,7,47.48287759999999,-122.21706609999998,1.6193771274974016,6759.3890355337035
189,Bellevue,Washington,10946.0,11.375620341586153,7,47.610377,-122.20067859999999,1.6250886202265933,6735.632668742552
216,Kent,Washington,10946.0,11.600165733495869,7,47.380933500000005,-122.23484309999999,1.6571665333565526,6605.250455926797
374,Kirkland,Washington,10946.0,11.654906229676811,7,47.6814875,-122.20873529999999,1.6649866042395445,6574.227067129713
438,Auburn,Washington,10946.0,11.818134554909667,7,47.30732279999999,-122.22845320000002,1.6883049364156668,6483.425928516657
953,Puyallup,Washington,9946.0,9.226234286966804,6,47.1853785,-122.29289740000002,1.5377057144944672,6468.077673282124
41,Colorado Springs,Colorado,17817.0,24.823254080998392,9,38.8338816,-104.82136340000001,2.7581393423331546,6459.789658389163
785,Coeur d'Alene,Idaho,8365.0,6.573815143701457,5,47.677683200000004,-116.78046640000001,1.3147630287402914,6362.363267861832
747,Burien,Washington,10946.0,12.082906166603765,7,47.4703767,-122.3467918,1.7261294523719664,6341.3552123558975
19,Seattle,Washington,10946.0,12.111507912845402,7,47.6062095,-122.33207079999998,1.7302154161207717,6326.379881957977
325,Federal Way,Washington,10946.0,12.183673102667509,7,47.3223221,-122.3126222,1.7405247289525012,6288.908061988653
106,Tacoma,Washington,9946.0,9.808646675204,6,47.252876799999996,-122.4442906,1.6347744458673334,6084.019740547832
668,Shoreline,Washington,10946.0,12.685167944427874,7,47.7556531,-122.3415178,1.812166849203982,6040.282662056296
908,Edmonds,Washington,10946.0,13.1503714215938,7,47.8106521,-122.37735520000001,1.8786244887991141,5826.60348849018
271,Everett,Washington,10946.0,13.419819316158952,7,47.9789848,-122.2020794,1.9171170451655646,5709.614875942376
608,Lakewood,Washington,7946.0,7.003759756635,5,47.1717649,-122.51845800000001,1.400751951327,5672.667450130889
871,Concord,New Hampshire,11116.0,81.16855736997842,41,43.2081366,-71.5375718,1.9797209114628882,5614.932860302001
542,Marysville,Washington,10946.0,13.899958806986936,7,48.0517637,-122.1770818,1.9857084009981336,5512.390436832467
965,Bremerton,Washington,8946.0,10.443619367103668,6,47.567320200000005,-122.6329356,1.7406032278506114,5139.597500946263
62,Stockton,California,13230.0,20.608901985681392,8,37.9577016,-121.29077959999998,2.576112748210174,5135.644784643805
338,Spokane Valley,Washington,8720.0,10.390113252666223,6,47.6732281,-117.2393748,1.7316855421110373,5035.5562762103755
599,Grand Junction,Colorado,12513.0,12.476701682333337,5,39.0638705,-108.5506486,2.4953403364666675,5014.546439672457
101,Spokane,Washington,8720.0,10.930699644297317,6,47.6587802,-117.4260466,1.8217832740495528,4786.518859961174
253,Manchester,New Hampshire,9730.0,80.26813573863086,39,42.995639700000005,-71.4547891,2.0581573266315605,4727.529753969002
821,Lacey,Washington,7946.0,8.522397399646492,5,47.03426289999999,-122.82319150000001,1.7044794799292984,4661.83377011356
764,Olympia,Washington,7946.0,8.811705020818444,5,47.0378741,-122.9006951,1.7623410041636887,4508.77553278671
348,Chico,California,13285.0,23.576707803160428,8,39.728494399999995,-121.8374777,2.9470884753950535,4507.838875865158
623,Idaho Falls,Idaho,6740.0,7.821907885284446,5,43.49165139999999,-112.0339645,1.5643815770568892,4308.41177040715
328,Yakima,Washington,10694.0,14.927514140450173,6,46.6020711,-120.5058987,2.487919023408362,4298.371409753358
852,Pittsfield,Massachusetts,8842.0,93.5633970596853,45,42.450084499999996,-73.2453824,2.07918660132634,4252.624557295422
28,Las Vegas,Nevada,2535.0,1.2042245668135592,2,36.169941200000004,-115.13982959999998,0.6021122834067796,4210.178184136771
362,Nashua,New Hampshire,8943.0,80.82289683442363,38,42.7653662,-71.46756599999998,2.1269183377479903,4204.674829908594
875,Burlington,Vermont,8750.0,50.04257794612885,24,44.475882500000004,-73.21207199999998,2.0851074144220356,4196.426495574754
918,Fitchburg,Massachusetts,8313.0,76.99852434006317,38,42.583422799999994,-71.8022955,2.0262769563174516,4102.598104411164
384,Bend,Oregon,7419.0,9.18747883521642,5,44.058172799999994,-121.31530959999999,1.8374957670432839,4037.5603215336487
304,Greeley,Colorado,9977.0,18.097764450328054,7,40.42331420000001,-104.7091322,2.5853949214754364,3858.9849145005333
749,Troy,New York,7962.0,82.77341729390609,40,42.7284117,-73.69178509999998,2.0693354323476525,3847.6120765820665
898,Leominster,Massachusetts,7993.0,79.05509097624177,38,42.5250906,-71.759794,2.080397130953731,3842.054904361319
305,Albany,New York,7690.0,77.08398294104417,38,42.65257929999999,-73.7562317,2.0285258668695834,3790.930214691909
93,North Las Vegas,Nevada,2535.0,1.3501435264077508,2,36.1988592,-115.1175013,0.6750717632038754,3755.1563228906907
715,Albany,Oregon,9569.0,15.375280337029233,6,44.6365107,-123.10592820000001,2.5625467228382055,3734.1758160809813
482,Turlock,California,9120.0,19.69286720380097,8,37.494656799999994,-120.84659409999999,2.461608400475121,3704.89473396326
98,Boise City,Idaho,8296.0,11.234040468828043,5,43.6187102,-116.2146068,2.2468080937656087,3692.3491699266838
533,Schenectady,New York,7261.0,67.21585051689281,34,42.8142432,-73.93956870000001,1.9769367799086122,3672.8539191504415
492,Missoula,Montana,7090.0,12.791416562168768,6,46.87871759999999,-113.99658600000001,2.1319027603614615,3325.667629792786
63,Anchorage,Alaska,1640.0,0.9881807938924444,2,61.2180556,-149.90027780000003,0.4940903969462222,3319.2306714240813
684,Pocatello,Idaho,7704.0,16.308341210478996,7,42.8713032,-112.4455344,2.329763030068428,3306.774079840096
103,Modesto,California,7170.0,13.10238237635323,6,37.63909719999999,-120.99687820000001,2.1837303960588716,3283.372348958549
795,Ceres,California,7620.0,16.334226461544475,7,37.5949316,-120.9577098,2.3334609230777823,3265.535721913608
887,Bozeman,Montana,7840.0,12.020762258671462,5,45.676997899999996,-111.04293390000001,2.4041524517342925,3261.024480516795
