ID,name,city,state,addr,zip,night,park,beginner,intermediate,advanced,expert,total_runs,area,max_price,min_price,elev,dates,rating,lifts,avg_snowfall,lat,lon,link
1,49 Degrees North,Chewelah,WA,P.O. Box 166,99109,1,1,30,40,25,5,82,2325,55,0,3931ft - 5774ft,12/ 6-4/ 5,3,7,301,48.276287,-117.7155208,http://www.onthesnow.com/washington/49-degrees-north/ski-resort.html
2,Afton Alps,Hastings,MN,6600 Peller Avenue South,55033,1,5,42,42,17,0,48,250,N/A,N/A,1180ft - 1530ft,11/27-3/27,3,22,60,44.7443293,-92.8513706,http://www.onthesnow.com/minnesota/afton-alps/ski-resort.html
3,Alpental,Snoqualmie,WA,POB 1068,98068,1,0,4,17,38,42,24,825,66,12,3140ft - 5420ft,12/12-5/ 5,3,5,429,47.5287132,-121.8253906,http://www.onthesnow.com/washington/alpental/ski-resort.html
4,Alpine Mountain,Analomink,PA,PO Box 309,18320,1,1,24,38,24,14,21,99,55,0,650ft - 1150ft,1/ 7-3/13,3.1,5,50,41.051204,-75.2204589,http://www.onthesnow.com/pennsylvania/alpine-mountain/ski-resort.html
5,Alpine Valley,Chesterland,OH,10620 Mayfield,44026,1,1,33,34,33,0,11,72,43,10,1260ft - 1500ft,1/ 3-3/22,2.9,5,120,41.5222735,-81.3378874,http://www.onthesnow.com/ohio/alpine-valley/ski-resort.html
6,Alpine Valley Resort,East,WI,P.O. Box 615,53120,1,3,40,40,20,0,20,90,N/A,N/A,1020ft - 1260ft,11/24-3/16,2.9,13,80,43.7844397,-88.7878678,http://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html
7,Alpine Valley Ski Area,White,MI,6775 E. Highland Road,48383,1,3,34,36,30,0,25,100,N/A,N/A,126ft - 500ft,11/25-3/15,3,14,20,46.7668793,-88.8270803,http://www.onthesnow.com/michigan/alpine-valley-ski-area/ski-resort.html
8,Alta Ski Area,Alta,UT,P.O. Box 8007,84092,0,0,25,40,35,0,116,2200,89,0,8529ft - 10550ft,11/20-4/24,3.9,11,560,40.5888394,-111.6379793,http://www.onthesnow.com/utah/alta-ski-area/ski-resort.html
9,Alyeska Resort,Girdwood,AK,P.O. Box 249,99587,1,3,11,52,37,0,76,1610,75,25,250ft - 2750ft,11/26-4/19,3.1,9,650,60.9543247,-149.1598983,http://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html
10,Andes Tower Hills Ski Area,Kensington,MN,4505 Andes Road Southwest,56343,1,2,25,25,44,6,16,35,39,0,1330ft - 1620ft,11/21-3/29,2.7,4,55,45.7779073,-95.6962749,http://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/ski-resort.html
11,Angel Fire Resort,Angel,NM,P.O. Box 130,87710,1,2,18,46,36,0,79,560,N/A,N/A,8600ft - 10677ft,12/11-3/20,3.6,7,210,33.0402343,-106.0135627,http://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html
12,Anthony Lakes Mountain Resort,North,OR,47500 Anthony Lake Highway,97867,0,2,20,38,0,42,21,1500,35,0,7100ft - 8000ft,12/ 5-4/ 5,3.1,3,300,40.2968979,-111.6946475,http://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html
