,city,state,area,time,number,lat,lon,score
344,Sandy,Utah,29428.0,13.736186198980914,13,40.564978100000005,-111.8389726,27850.81640989858
123,Salt Lake City,Utah,29428.0,14.359361631390836,13,40.760779299999996,-111.89104740000002,26642.13144153158
251,West Jordan,Utah,29428.0,14.856634582881806,13,40.6096698,-111.9391031,25750.380940297207
855,Bountiful,Utah,29428.0,15.06009676387033,13,40.8893895,-111.880771,25402.49282579536
192,West Valley City,Utah,29428.0,15.594161484855269,13,40.691613200000006,-112.00105009999999,24532.51496539512
236,Provo,Utah,28964.0,14.28168538361025,12,40.233843799999995,-111.6585337,24336.623491151204
336,Orem,Utah,29428.0,16.219229305586573,13,40.2968979,-111.69464750000002,23587.06402086745
383,Ogden,Utah,28778.0,15.334192021696662,12,41.223,-111.9738304,22520.65185510766
88,Reno,Nevada,26127.0,17.602143313492515,14,39.529632899999996,-119.8138027,20780.31030003155
319,Sparks,Nevada,26127.0,18.610335813002187,14,39.5349112,-119.7526886,19654.56204957074
277,Boulder,Colorado,26060.0,26.086658378162326,13,40.0149856,-105.2705456,12986.715089718033
168,Lakewood,Colorado,22970.0,18.459198672189707,10,39.7047095,-105.08137340000002,12443.660425306643
447,Folsom,California,26367.0,32.72491474864087,15,38.6779591,-121.17605829999998,12085.745770091766
829,Littleton,Colorado,23770.0,22.7698111302377,11,39.613321,-105.0166498,11483.187036750378
204,Roseville,California,26367.0,34.4587038176413,15,38.752123499999996,-121.28800590000002,11477.651686872774
371,Citrus Heights,California,26367.0,34.67027470478743,15,38.7071247,-121.2810611,11407.610795347602
241,Arvada,Colorado,17423.0,15.29784832172646,9,39.802764399999994,-105.08748419999999,10250.2650504972
246,Westminster,Colorado,17423.0,16.123112784821238,9,39.836652799999996,-105.03720459999998,9725.603367832458
150,Elk Grove,California,25167.0,36.318686645496214,14,38.4087993,-121.37161780000001,9701.286928107917
34,Sacramento,California,25167.0,36.88766509420649,14,38.5815719,-121.49439960000001,9551.648202730446
20,Denver,Colorado,17423.0,16.612956562514825,9,39.739235799999996,-104.990251,9438.837657218492
345,Longmont,Colorado,20513.0,26.7507317581782,12,40.167206799999995,-105.10192749999999,9201.841737459967
196,Thornton,Colorado,17423.0,17.181978386623086,9,39.8680412,-104.9719243,9126.248239380922
268,Centennial,Colorado,17423.0,18.42333076262424,9,39.5807452,-104.87717260000001,8511.327404386471
53,Aurora,Colorado,17423.0,18.946718424148614,9,39.729431899999994,-104.8319195,8276.208918592522
158,Fort Collins,Colorado,20113.0,28.253384919948967,11,40.5852602,-105.084423,7830.6723469366025
306,Renton,Washington,10946.0,11.335639892481812,7,47.48287759999999,-122.21706609999998,6759.3890355337035
189,Bellevue,Washington,10946.0,11.375620341586153,7,47.610377,-122.20067859999999,6735.632668742552
216,Kent,Washington,10946.0,11.600165733495869,7,47.380933500000005,-122.23484309999999,6605.250455926797
374,Kirkland,Washington,10946.0,11.654906229676811,7,47.6814875,-122.20873529999999,6574.227067129713
438,Auburn,Washington,10946.0,11.818134554909667,7,47.30732279999999,-122.22845320000002,6483.425928516657
41,Colorado Springs,Colorado,17817.0,24.823254080998392,9,38.8338816,-104.82136340000001,6459.789658389163
19,Seattle,Washington,10946.0,12.111507912845402,7,47.6062095,-122.33207079999998,6326.379881957977
325,Federal Way,Washington,10946.0,12.183673102667509,7,47.3223221,-122.3126222,6288.908061988653
106,Tacoma,Washington,9946.0,9.808646675204,6,47.252876799999996,-122.4442906,6084.019740547832
271,Everett,Washington,10946.0,13.419819316158952,7,47.9789848,-122.2020794,5709.614875942376
62,Stockton,California,13230.0,20.608901985681392,8,37.9577016,-121.29077959999998,5135.644784643805
338,Spokane Valley,Washington,8720.0,10.390113252666223,6,47.6732281,-117.2393748,5035.5562762103755
101,Spokane,Washington,8720.0,10.930699644297317,6,47.6587802,-117.4260466,4786.518859961174
253,Manchester,New Hampshire,9730.0,80.26813573863086,39,42.995639700000005,-71.4547891,4727.529753969002
764,Olympia,Washington,7946.0,8.811705020818444,5,47.0378741,-122.9006951,4508.77553278671
348,Chico,California,13285.0,23.576707803160428,8,39.728494399999995,-121.8374777,4507.838875865158
328,Yakima,Washington,10694.0,14.927514140450173,6,46.6020711,-120.5058987,4298.371409753358
28,Las Vegas,Nevada,2535.0,1.2042245668135592,2,36.169941200000004,-115.13982959999998,4210.178184136771
362,Nashua,New Hampshire,8943.0,80.82289683442363,38,42.7653662,-71.46756599999998,4204.674829908594
384,Bend,Oregon,7419.0,9.18747883521642,5,44.058172799999994,-121.31530959999999,4037.5603215336487
304,Greeley,Colorado,9977.0,18.097764450328054,7,40.42331420000001,-104.7091322,3858.9849145005333
305,Albany,New York,7690.0,77.08398294104417,38,42.65257929999999,-73.7562317,3790.930214691909
93,North Las Vegas,Nevada,2535.0,1.3501435264077508,2,36.1988592,-115.1175013,3755.1563228906907
98,Boise City,Idaho,8296.0,11.234040468828043,5,43.6187102,-116.2146068,3692.3491699266838
63,Anchorage,Alaska,1640.0,0.9881807938924444,2,61.2180556,-149.90027780000003,3319.2306714240813
103,Modesto,California,7170.0,13.10238237635323,6,37.63909719999999,-120.99687820000001,3283.372348958549
255,Gresham,Oregon,5331.0,6.683064096272918,4,45.5001357,-122.43020130000001,3190.751980351676
400,Merced,California,7120.0,15.979296224385779,7,37.3021632,-120.48296770000002,3119.035988827836
462,Manteca,California,7170.0,14.120191493985677,6,37.797427299999995,-121.21605259999998,3046.700890588052
161,Springfield,Massachusetts,6255.0,74.36159152352806,36,42.1014831,-72.589811,3028.176177869363
144,Vancouver,Washington,5927.0,8.084415993457345,4,45.6387281,-122.6614861,2932.5556749166176
70,Henderson,Nevada,2535.0,1.7358585497678225,2,36.0395247,-114.9817213,2920.7448963385473
254,Lowell,Massachusetts,6192.0,68.57917151393899,32,42.633424700000006,-71.31617179999998,2889.273749242165
426,Lawrence,Massachusetts,6159.0,64.7358930755261,30,42.7070354,-71.1631137,2854.212573918343
154,Eugene,Oregon,5044.0,5.337217812871536,3,44.0520691,-123.08675359999998,2835.1850215868676
27,Portland,Oregon,4525.0,4.797105864888348,3,45.523062200000005,-122.67648159999999,2829.831232068496
357,Meridian,Idaho,6242.0,8.840721289687881,4,43.61210870000001,-116.39151310000001,2824.2039514494736
130,Worcester,Massachusetts,5811.0,68.87818917597255,33,42.262593200000005,-71.8022934,2784.0888718789743
353,Nampa,Idaho,6242.0,9.769511343062096,4,43.5407172,-116.5634624,2555.7061272804854
151,Salem,Oregon,5886.0,11.765784287514773,5,44.9428975,-123.03509629999999,2501.3207178402513
315,Beaverton,Oregon,5080.0,8.559163095537652,4,45.48706199999999,-122.8037102,2374.0638860584277
217,Hartford,Connecticut,5138.0,73.53300164360482,33,41.76371109999999,-72.6850932,2305.8218243528772
388,Bellingham,Washington,4944.0,8.602251197688805,4,48.74908,-122.4781473,2298.9330985025504
948,Woburn,Massachusetts,4856.0,53.61117522813349,25,42.479261799999996,-71.1522765,2264.453250341974
449,Scranton,Pennsylvania,4538.0,58.606977026235036,29,41.408969,-75.66241219999998,2245.50056456741
298,Hillsboro,Oregon,4525.0,6.225678078475866,3,45.5228939,-122.989827,2180.485375068309
421,Medford,Oregon,4145.0,5.914953287722688,3,42.3265152,-122.8755949,2102.2989354473148
373,Tracy,California,5170.0,12.905130644360074,5,37.7396513,-121.42522269999999,2003.079295543375
370,Duluth,Minnesota,4764.0,24.953413950842986,10,46.78667189999999,-92.10048520000001,1909.1576044002834
176,Paterson,New Jersey,3928.0,57.9065876362977,28,40.916765399999996,-74.17181099999998,1899.3348509981706
259,Waterbury,Connecticut,3964.0,60.561399129243505,29,41.558152500000006,-73.0514965,1898.1727908015052
352,Newton,Massachusetts,4062.0,51.541813943838214,24,42.337041299999996,-71.20922139999998,1891.4351773925996
387,Danbury,Connecticut,3863.0,60.10135833407003,29,41.394816999999996,-73.45401109999999,1863.967855390293
112,Yonkers,New York,4146.0,65.34406798121756,29,40.9312099,-73.89874689999998,1840.0140014937538
372,Clifton,New Jersey,3818.0,56.575383841650144,27,40.858432799999996,-74.16375529999998,1822.0998780764662
450,Bethlehem,Pennsylvania,2947.0,32.435997468962896,20,40.6259316,-75.37045789999998,1817.1169256132189
833,Hackensack,New Jersey,3818.0,57.66169732168295,27,40.8859325,-74.0434736,1787.772555929182
225,Allentown,Pennsylvania,2947.0,33.35746088756791,20,40.6084305,-75.4901833,1766.921055492162
207,Stamford,Connecticut,3933.0,58.50033558135944,26,41.0534302,-73.53873409999999,1747.9899727717718
413,New Rochelle,New York,3896.0,61.59870744863447,27,40.9114882,-73.78235490000002,1707.698170253277
339,Redding,California,3925.0,4.625325544034824,2,40.5865396,-122.3916754,1697.1778365144403
68,Newark,New Jersey,3293.0,53.69165227215301,25,40.735657,-74.1723667,1533.292355815572
354,Norwalk,Connecticut,3445.0,58.78084112236881,26,41.11774399999999,-73.4081575,1523.7958200280755
40,Omaha,Nebraska,730.0,0.9678785590416306,2,41.25236339999999,-95.9979883,1508.453706677474
73,Jersey City,New Jersey,3293.0,55.192828595712086,25,40.72815749999999,-74.0776417,1491.5887098853239
203,Elizabeth,New Jersey,3052.0,48.84147163634944,23,40.6639916,-74.2107006,1437.2212312242823
0,New York,New York,3122.0,50.085955188422226,23,40.7127837,-74.00594129999999,1433.6553976033292
102,Rochester,New York,2808.0,25.643417601512603,13,43.16103,-77.61092190000001,1423.5232045609541
197,New Haven,Connecticut,2990.0,52.80939965684414,24,41.308274,-72.9278835,1358.8490016227602
