ID,wthr,dscr,temp,pres,humd,spd,rain,snow
1,Clouds,broken clouds,43.86,926.37,79,8.75,0,0
2,Clouds,scattered clouds,48.58,979.38,83,15.23,0,0
3,Rain,moderate rain,39.54,948.26,100,2.59,4.275,0
4,Clear,clear sky,29.59,985.38,68,2.15,0,0
5,Clouds,scattered clouds,37.69,1002.97,77,6.51,0,0
6,Clouds,broken clouds,44.89,997.14,68,20.27,0,0
7,Clouds,broken clouds,33.96,1001.43,92,10.98,0,0
8,Rain,light rain,35.53,801.29,100,3.49,2.55,0
9,Clouds,few clouds,37.56,919.89,87,1.36,0,0
10,Clear,clear sky,49.71,967.87,85,8.75,0,0
11,Clouds,broken clouds,43.14,746.58,62,8.19,0,0
12,Clouds,broken clouds,39.09,859.33,63,2.93,0,0
13,Clear,clear sky,42.51,965.12,67,3.15,0,0
14,Clouds,broken clouds,36.7,999.57,78,11.21,0,0
15,Clouds,few clouds,41.47,712.05,38,5.17,0,0
16,Clear,clear sky,50.16,802.43,36,18.14,0,0
17,Clouds,broken clouds,32.38,688.86,64,4.05,0,0
18,Clouds,broken clouds,69.78,1022.59,88,3.27,0,0
19,Clouds,few clouds,27.16,757.85,77,2.71,0,0
20,Clear,clear sky,30.67,1004.59,78,2.59,0,0
21,Clear,clear sky,50.02,881.38,52,5.39,0,0
22,Rain,light rain,42.1,935.85,100,7.18,1.33,0
23,Clouds,overcast clouds,38.68,735.07,59,4.72,0,0
24,Rain,light rain,35.04,794.89,100,5.95,1.14,0
25,Clear,clear sky,42.51,965.12,67,3.15,0,0
26,Clear,clear sky,31.12,1010.92,69,2.04,0,0
27,Clouds,overcast clouds,30.49,996.65,94,8.19,0,0
28,Clear,clear sky,29.59,985.38,68,2.15,0,0
29,Clear,clear sky,47.41,964.95,66,11.54,0,0
30,Rain,light rain,36.52,765.71,83,4.16,0.125,0
31,Clouds,broken clouds,38.77,1014.73,100,6.4,0,0
32,Clouds,broken clouds,38.32,1003.05,88,11.32,0,0
33,Clear,clear sky,47.41,964.95,66,11.54,0,0
34,Clouds,scattered clouds,32.02,1012.86,95,3.6,0,0
35,Rain,light rain,39.04,872.46,88,6.51,0.735,0
36,Clear,clear sky,70.59,1027.13,50,15.9,0,0
37,Clouds,few clouds,63.43,879.44,63,3.49,0,0
38,Clear,clear sky,31.75,972.41,80,2.26,0,0
39,Clear,clear sky,30.67,1004.59,78,2.59,0,0
40,Clouds,scattered clouds,42.46,898.73,65,7.07,0,0
41,Clouds,few clouds,45.48,905.78,82,5.95,0,0
42,Rain,moderate rain,39.54,948.26,100,2.59,4.275,0
43,Clouds,broken clouds,33.28,831.45,83,5.73,0,0
44,Mist,mist,36,1003,93,6.51,0,0
45,Clear,clear sky,60.96,871.9,81,1.7,0,0
46,Clouds,few clouds,38.86,999.32,62,18.92,0,0
47,Clouds,few clouds,37.06,984.33,67,16.46,0,0
48,Clear,clear sky,78.19,1017.4,61,7.18,0,0
49,Mist,mist,36,1003,93,6.51,0,0
50,Clear,clear sky,33.37,1019.92,56,5.06,0,0
