,city,state,area,time,number,score
123,Salt Lake City   ,Utah,29428.0,10.25668688,13,37298.98401656189
251,West Jordan   ,Utah,29428.0,10.61188184,13,36050.53333311521
192,West Valley City   ,Utah,29428.0,11.13868677,13,34345.520966651624
236,Provo   ,Utah,29428.0,12.59666315,13,30370.265160261908
88,Reno   ,Nevada,33515.0,21.26703043,17,26790.529212592097
277,Boulder   ,Colorado,28407.0,24.05511651,15,17713.695122734618
241,Arvada   ,Colorado,28407.0,25.9486518,15,16421.084350902576
168,Lakewood   ,Colorado,28407.0,25.99298188,15,16393.07879208201
246,Westminster   ,Colorado,28407.0,26.81982835,15,15887.685574989893
204,Roseville   ,California,27955.0,30.42224903,17,15621.297410699684
20,Denver   ,Colorado,28407.0,27.45681925,15,15519.095497560229
196,Thornton   ,Colorado,28407.0,27.95096213,15,15244.734618371436
268,Centennial   ,Colorado,28407.0,29.51651963,15,14436.153223394109
53,Aurora   ,Colorado,28407.0,30.05228573,15,14178.78838995053
150,Elk Grove   ,California,27955.0,34.05771422,17,13953.813721324952
34,Sacramento   ,California,26455.0,31.6273863,16,13383.337971244244
158,Fort Collins   ,Colorado,26060.0,25.81841735,13,13121.640858439372
62,Stockton   ,California,28405.0,41.07594674,18,12447.430688240298
41,Colorado Springs   ,Colorado,25317.0,25.3509503,12,11983.92945451043
103,Modesto   ,California,27205.0,38.79611588,17,11920.909851659098
260,Antioch   ,California,25255.0,38.80795646,15,9761.529195448908
266,Pueblo   ,Colorado,27062.0,39.3625281,14,9625.093160619428
249,Fairfield   ,California,25255.0,40.07156756,15,9453.710525119272
189,Bellevue   ,Washington,10946.0,8.125443101,7,9429.885736393884
216,Kent   ,Washington,13096.0,11.30102952,8,9270.65979383443
211,Concord   ,California,25255.0,42.51860295,15,8909.629520176884
19,Seattle   ,Washington,10946.0,8.651077081,7,8856.9318343356
223,Vallejo   ,California,25167.0,41.44988252,14,8500.337723031984
106,Tacoma   ,Washington,15471.0,18.63010666,10,8304.300282519156
271,Everett   ,Washington,10946.0,9.585585226000001,7,7993.460826175747
253,Manchester   ,New Hampshire,13741.0,97.23340516,54,7631.266217397173
255,Gresham   ,Oregon,13571.0,14.78994608,8,7340.6623264714435
144,Vancouver   ,Washington,16390.0,22.42740036,10,7308.0248878207485
27,Portland   ,Oregon,13571.0,15.92660516,8,6816.7697327407095
101,Spokane   ,Washington,10920.0,14.04489908,8,6220.051813999933
298,Hillsboro   ,Oregon,13571.0,17.49941529,8,6204.093005441211
254,Lowell   ,Massachusetts,12056.0,102.7147999,52,6103.424244708089
28,Las Vegas   ,Nevada,2535.0,0.860160405,2,5894.249456878918
161,Springfield   ,Massachusetts,10609.0,102.71829079999999,55,5680.5364989581785
130,Worcester   ,Massachusetts,11351.0,106.51187320000001,53,5648.224765236783
93,North Las Vegas   ,Nevada,2535.0,0.964388233,2,5257.218852855912
217,Hartford   ,Connecticut,10564.0,116.34353490000002,56,5084.803384291876
98,Boise City   ,Idaho,8576.0,10.65907327,6,4827.4365600641
256,Cambridge   ,Massachusetts,10268.0,101.0006333,47,4778.148257412956
23,Boston   ,Massachusetts,10168.0,99.80830852,46,4686.263167221943
154,Eugene   ,Oregon,9789.0,14.72303673,7,4654.134962549944
63,Anchorage   ,Alaska,1640.0,0.7058434240000001,2,4646.922941368934
259,Waterbury   ,Connecticut,8938.0,112.2473482,54,4299.896681211752
290,Clovis   ,California,9120.0,17.18615146,8,4245.278541261035
70,Henderson   ,Nevada,2535.0,1.239898964,2,4089.0428552692943
197,New Haven   ,Connecticut,7664.0,108.46324309999999,49,3462.334236620296
33,Fresno   ,California,7120.0,14.77335526,7,3373.6412022085224
174,Bridgeport   ,Connecticut,7232.0,105.4785903,48,3291.05649793653
207,Stamford   ,Connecticut,6677.0,88.76255945,43,3234.5957775330917
219,Victorville   ,California,3395.0,5.520484682,5,3074.9111677364854
176,Paterson   ,New Jersey,5182.0,66.25428908,37,2893.910759022516
133,Providence   ,Rhode Island,6068.0,76.58352383,36,2852.4151028217316
112,Yonkers   ,New York,5212.0,71.61128308,38,2765.7094173098844
96,Fremont   ,California,7170.0,15.96479822,6,2694.6785926869047
160,Hayward   ,California,7170.0,16.17885913,6,2659.025562576859
9,San Jose   ,California,7170.0,16.22213327,6,2651.9323497087753
68,Newark   ,New Jersey,4870.0,62.88589294,34,2633.022960459214
226,Berkeley   ,California,7082.0,13.65872291,5,2592.4824914688893
73,Jersey City   ,New Jersey,4870.0,63.87830397,34,2592.116410569753
44,Oakland   ,California,7082.0,13.78928343,5,2567.936193331259
0,New York   ,New York,4870.0,65.0689914,34,2544.6836724750588
203,Elizabeth   ,New Jersey,4870.0,65.27134154,34,2536.7948029462245
264,Richmond   ,California,7082.0,13.98434413,5,2532.117321400614
225,Allentown   ,Pennsylvania,4408.0,56.3764375,31,2423.8495027288664
45,Minneapolis   ,Minnesota,4172.0,24.97468657,14,2338.6880086079095
65,St. Paul   ,Minnesota,4202.0,27.40291622,15,2300.12015852523
181,Syracuse   ,New York,4752.0,69.34370290000001,33,2261.431008755663
31,Albuquerque   ,New Mexico,4241.0,16.22540801,8,2091.041407346403
218,Santa Clara   ,California,5170.0,13.322371100000002,5,1940.3452888352583
261,Billings   ,Montana,4724.0,12.24417558,5,1929.0804714187216
167,Sunnyvale   ,California,5170.0,13.71684443,5,1884.5442282237798
102,Rochester   ,New York,3083.0,31.56701091,18,1757.9744929989636
99,San Bernardino   ,California,930.0,2.212162386,4,1681.612536015699
287,Rialto   ,California,930.0,2.24504854,4,1656.9797640099132
107,Fontana   ,California,930.0,2.3296655459999998,4,1596.7957316393263
137,Rancho Cucamonga   ,California,930.0,2.474179169,4,1503.5289467348998
4,Philadelphia   ,Pennsylvania,3047.0,43.12469485,21,1483.7670207885542
75,Buffalo   ,New York,2573.0,25.55431724,14,1409.6248262745603
145,Ontario   ,California,930.0,2.773417723,4,1341.305339311124
109,Moreno Valley   ,California,930.0,2.853514877,4,1303.655372531636
58,Riverside   ,California,930.0,2.858098537,4,1301.5646423110009
201,Visalia   ,California,3140.0,12.07515929,5,1300.189887598576
237,Lansing   ,Michigan,2234.0,26.12820392,15,1282.5221397766861
164,Pomona   ,California,930.0,3.104011114,4,1198.449317150222
122,Grand Rapids   ,Michigan,2629.0,46.70396914,21,1182.105097631109
296,Erie   ,Pennsylvania,2362.0,26.70203183,13,1149.9499437155755
278,Green Bay   ,Wisconsin,2578.0,44.51856616,19,1100.260053838176
152,Corona   ,California,930.0,3.444609742,4,1079.9481737051883
285,San Mateo   ,California,2782.0,8.017044034,3,1041.0320767361275
12,San Francisco   ,California,2782.0,8.138943629,3,1025.4402021242945
265,West Covina   ,California,930.0,3.823803218,4,972.8534100522324
228,Ann Arbor   ,Michigan,1860.0,35.68383038,17,886.1156345402401
233,El Monte   ,California,930.0,4.232404831,4,878.9329349482542
17,Detroit   ,Michigan,1694.0,25.36347982,13,868.2562549100568
82,Madison   ,Wisconsin,1470.0,29.66802002,17,842.3211250077887
185,Fullerton   ,California,930.0,4.461547383,4,833.7914361672936
67,Toledo   ,Ohio,1804.0,32.6402683,15,829.0373029807479
55,Anaheim   ,California,930.0,4.573179958,4,813.4383589022106
184,Orange   ,California,930.0,4.581357555,4,811.986393845219
47,Cleveland   ,Ohio,1599.0,25.89426659,13,802.7645783189568
183,Pasadena   ,California,930.0,4.656594224,4,798.8671164060612
