city,state,area,time,number,lat,lon,score
Sandy,Utah,29428.0,13.736186199999999,13,40.564978100000005,-111.8389726,27850.816410000003
Salt Lake City,Utah,29428.0,14.35936163,13,40.760779299999996,-111.89104740000002,26642.13144
West Jordan,Utah,29428.0,14.85663458,13,40.6096698,-111.9391031,25750.38094
Bountiful,Utah,29428.0,15.06009676,13,40.8893895,-111.880771,25402.492830000003
West Valley City,Utah,29428.0,15.59416148,13,40.691613200000006,-112.00105009999999,24532.51497
Provo,Utah,28964.0,14.28168538,12,40.233843799999995,-111.6585337,24336.62349
Orem,Utah,29428.0,16.21922931,13,40.2968979,-111.69464750000002,23587.064019999998
Ogden,Utah,28778.0,15.33419202,12,41.223,-111.9738304,22520.651859999998
Reno,Nevada,26127.0,17.60214331,14,39.529632899999996,-119.8138027,20780.3103
Sparks,Nevada,26127.0,18.61033581,14,39.5349112,-119.7526886,19654.56205
Boulder,Colorado,26060.0,26.08665838,13,40.0149856,-105.2705456,12986.71509
Lakewood,Colorado,22970.0,18.45919867,10,39.7047095,-105.08137340000002,12443.66043
Folsom,California,26367.0,32.72491475,15,38.6779591,-121.17605829999998,12085.74577
Littleton,Colorado,23770.0,22.76981113,11,39.613321,-105.0166498,11483.18704
Roseville,California,26367.0,34.45870382,15,38.752123499999996,-121.28800590000002,11477.65169
Citrus Heights,California,26367.0,34.6702747,15,38.7071247,-121.2810611,11407.6108
Arvada,Colorado,17423.0,15.29784832,9,39.802764399999994,-105.08748419999999,10250.26505
Westminster,Colorado,17423.0,16.12311278,9,39.836652799999996,-105.03720459999998,9725.603368
Elk Grove,California,25167.0,36.31868665,14,38.4087993,-121.37161780000001,9701.286928
Sacramento,California,25167.0,36.88766509,14,38.5815719,-121.49439960000001,9551.648203
Denver,Colorado,17423.0,16.61295656,9,39.739235799999996,-104.990251,9438.837657
Longmont,Colorado,20513.0,26.75073176,12,40.167206799999995,-105.10192749999999,9201.841737
Thornton,Colorado,17423.0,17.18197839,9,39.8680412,-104.9719243,9126.248239
Centennial,Colorado,17423.0,18.42333076,9,39.5807452,-104.87717260000001,8511.327404000001
Aurora,Colorado,17423.0,18.94671842,9,39.729431899999994,-104.8319195,8276.208919
Fort Collins,Colorado,20113.0,28.25338492,11,40.5852602,-105.084423,7830.672347
Renton,Washington,10946.0,11.33563989,7,47.4828776,-122.21706609999998,6759.389036
Bellevue,Washington,10946.0,11.37562034,7,47.610377,-122.20067859999999,6735.632669
Kent,Washington,10946.0,11.60016573,7,47.380933500000005,-122.23484309999999,6605.250456000001
Kirkland,Washington,10946.0,11.65490623,7,47.6814875,-122.20873529999999,6574.227067
Auburn,Washington,10946.0,11.81813455,7,47.307322799999994,-122.22845320000002,6483.425929
Colorado Springs,Colorado,17817.0,24.82325408,9,38.8338816,-104.82136340000001,6459.789658
Seattle,Washington,10946.0,12.11150791,7,47.6062095,-122.33207079999998,6326.379882
Federal Way,Washington,10946.0,12.1836731,7,47.3223221,-122.3126222,6288.9080619999995
Tacoma,Washington,9946.0,9.808646675,6,47.252876799999996,-122.4442906,6084.019741
Everett,Washington,10946.0,13.41981932,7,47.9789848,-122.2020794,5709.614876
Stockton,California,13230.0,20.60890199,8,37.9577016,-121.29077959999998,5135.644785
Spokane Valley,Washington,8720.0,10.39011325,6,47.6732281,-117.2393748,5035.556275999999
Spokane,Washington,8720.0,10.93069964,6,47.6587802,-117.4260466,4786.51886
Manchester,New Hampshire,9730.0,80.26813574,39,42.995639700000005,-71.4547891,4727.529754
Olympia,Washington,7946.0,8.811705021,5,47.0378741,-122.9006951,4508.775533
Chico,California,13285.0,23.5767078,8,39.728494399999995,-121.8374777,4507.838876
Yakima,Washington,10694.0,14.92751414,6,46.6020711,-120.5058987,4298.37141
Las Vegas,Nevada,2535.0,1.204224567,2,36.169941200000004,-115.13982959999998,4210.178184
Nashua,New Hampshire,8943.0,80.82289683,38,42.7653662,-71.467566,4204.67483
Bend,Oregon,7419.0,9.187478835,5,44.058172799999994,-121.31530959999999,4037.560322
Greeley,Colorado,9977.0,18.09776445,7,40.42331420000001,-104.7091322,3858.984915
Albany,New York,7690.0,77.08398294,38,42.65257929999999,-73.7562317,3790.930215
North Las Vegas,Nevada,2535.0,1.3501435259999999,2,36.1988592,-115.1175013,3755.1563229999997
Boise City,Idaho,8296.0,11.23404047,5,43.6187102,-116.2146068,3692.3491700000004
Anchorage,Alaska,1640.0,0.988180794,2,61.2180556,-149.90027780000003,3319.2306710000003
Modesto,California,7170.0,13.10238238,6,37.6390972,-120.99687820000001,3283.3723489999998
Gresham,Oregon,5331.0,6.683064096,4,45.5001357,-122.43020130000001,3190.75198
Merced,California,7120.0,15.97929622,7,37.3021632,-120.48296770000002,3119.035989
Manteca,California,7170.0,14.12019149,6,37.797427299999995,-121.21605259999998,3046.700891
Springfield,Massachusetts,6255.0,74.36159152,36,42.1014831,-72.589811,3028.176178
Vancouver,Washington,5927.0,8.084415993,4,45.6387281,-122.6614861,2932.555675
Henderson,Nevada,2535.0,1.73585855,2,36.0395247,-114.9817213,2920.744896
Lowell,Massachusetts,6192.0,68.57917151,32,42.633424700000006,-71.3161718,2889.273749
Lawrence,Massachusetts,6159.0,64.73589308,30,42.7070354,-71.1631137,2854.2125739999997
Eugene,Oregon,5044.0,5.3372178130000005,3,44.0520691,-123.08675359999998,2835.1850219999997
Portland,Oregon,4525.0,4.797105865,3,45.523062200000005,-122.67648159999999,2829.831232
Meridian,Idaho,6242.0,8.84072129,4,43.61210870000001,-116.39151310000001,2824.203951
Worcester,Massachusetts,5811.0,68.87818918,33,42.262593200000005,-71.8022934,2784.088872
Concrete,Washington,4944.0,7.601281147999999,4,48.5392813,-121.7462513,2601.666695
Nampa,Idaho,6242.0,9.769511343,4,43.5407172,-116.5634624,2555.706127
Salem,Oregon,5886.0,11.76578429,5,44.9428975,-123.03509629999999,2501.320718
Beaverton,Oregon,5080.0,8.559163096,4,45.487062,-122.8037102,2374.063886
Hartford,Connecticut,5138.0,73.53300164,33,41.7637111,-72.6850932,2305.8218239999997
Bellingham,Washington,4944.0,8.602251198,4,48.74908,-122.4781473,2298.933099
Woburn,Massachusetts,4856.0,53.61117523,25,42.479261799999996,-71.1522765,2264.45325
Scranton,Pennsylvania,4538.0,58.60697703,29,41.408969,-75.66241219999999,2245.500565
Hillsboro,Oregon,4525.0,6.225678078,3,45.5228939,-122.989827,2180.485375
Medford,Oregon,4145.0,5.9149532879999995,3,42.3265152,-122.8755949,2102.2989350000003
Tracy,California,5170.0,12.90513064,5,37.7396513,-121.42522269999999,2003.079296
Duluth,Minnesota,4764.0,24.95341395,10,46.7866719,-92.10048520000001,1909.157604
Paterson,New Jersey,3928.0,57.90658764,28,40.916765399999996,-74.171811,1899.334851
Waterbury,Connecticut,3964.0,60.56139913,29,41.558152500000006,-73.0514965,1898.172791
Newton,Massachusetts,4062.0,51.54181394,24,42.337041299999996,-71.2092214,1891.435177
Danbury,Connecticut,3863.0,60.10135833,29,41.394816999999996,-73.45401109999999,1863.967855
Yonkers,New York,4146.0,65.34406798,29,40.9312099,-73.8987469,1840.0140010000002
Clifton,New Jersey,3818.0,56.57538384,27,40.858432799999996,-74.16375529999999,1822.0998780000002
Bethlehem,Pennsylvania,2947.0,32.43599747,20,40.6259316,-75.3704579,1817.1169260000001
Hackensack,New Jersey,3818.0,57.66169732,27,40.8859325,-74.0434736,1787.772556
Allentown,Pennsylvania,2947.0,33.35746089,20,40.6084305,-75.4901833,1766.921055
Stamford,Connecticut,3933.0,58.50033558,26,41.0534302,-73.53873409999999,1747.989973
New Rochelle,New York,3896.0,61.59870745,27,40.9114882,-73.78235490000002,1707.69817
Redding,California,3925.0,4.625325544,2,40.5865396,-122.3916754,1697.1778370000002
Newark,New Jersey,3293.0,53.69165227,25,40.735657,-74.1723667,1533.2923560000002
Norwalk,Connecticut,3445.0,58.78084112,26,41.117744,-73.4081575,1523.7958199999998
Omaha,Nebraska,730.0,0.9678785590000001,2,41.25236339999999,-95.99798829999999,1508.4537070000001
Jersey City,New Jersey,3293.0,55.1928286,25,40.7281575,-74.0776417,1491.58871
Elizabeth,New Jersey,3052.0,48.84147164,23,40.6639916,-74.2107006,1437.221231
New York,New York,3122.0,50.08595519,23,40.7127837,-74.00594129999999,1433.655398
Rochester,New York,2808.0,25.6434176,13,43.16103,-77.61092190000001,1423.523205
Newtown,Pennsylvania,2767.0,37.748541224414325,19,40.2626407,-74.95594799999999,1392.7160704689106
New Haven,Connecticut,2990.0,52.80939966,24,41.308274,-72.9278835,1358.849002
Somerville,Massachusetts,2411.0,30.36172704,17,42.3875968,-71.0994968,1349.9561449999999
Cambridge,Massachusetts,2411.0,30.40494484,17,42.373615799999996,-71.10973349999999,1348.037308
Clovis,California,3140.0,11.67249187,5,36.8252277,-119.70291940000001,1345.042701
Bridgeport,Connecticut,2984.0,53.29698308,24,41.18654779999999,-73.1951767,1343.715833
Boston,Massachusetts,2411.0,31.47103947,17,42.360082500000004,-71.0588801,1302.3719800000001
Fresno,California,3140.0,12.45817603,5,36.7468422,-119.7725868,1260.2165810000001
Lynn,Massachusetts,2301.0,31.95272998,17,42.466763,-70.9494938,1224.214645
Hesperia,California,930.0,3.051778511,4,34.4263886,-117.3008784,1218.961332
Reading,Pennsylvania,2345.0,29.198675599999998,15,40.335648299999995,-75.9268747,1204.677927
San Bernardino,California,930.0,3.0970273410000004,4,34.1083449,-117.2897652,1201.151811
Quincy,Massachusetts,2411.0,34.25020469,17,42.25287720000001,-71.0022705,1196.693578
Kennewick,Washington,2555.0,6.448961176,3,46.2112458,-119.1372338,1188.563521
Rialto,California,930.0,3.143067957,4,34.1064001,-117.37032350000001,1183.556974
Trenton,New Jersey,2664.0,40.97724960000001,18,40.2170534,-74.74293840000001,1170.210311
Fontana,California,930.0,3.261531765,4,34.0922335,-117.435048,1140.5683800000002
Buffalo,New York,2200.0,19.53715234,10,42.8864468,-78.8783689,1126.0597050000001
Oakley,California,2782.0,7.731833746,3,37.9974219,-121.71245359999999,1079.4334529999999
Rancho Cucamonga,California,930.0,3.463850836,4,34.1063989,-117.5931084,1073.9492480000001
Syracuse,New York,2148.0,34.0082259,17,43.0481221,-76.1474244,1073.740221
Farmington Hills,Michigan,1073.0,6.208404906,6,42.4989936,-83.3677168,1036.981334
Victorville,California,930.0,3.5913181439999997,4,34.5362184,-117.29276409999999,1035.831372
Antioch,California,2782.0,8.187882753,3,38.0049214,-121.80578899999999,1019.3111269999999
Upland,California,930.0,3.6824543480000003,4,34.09751,-117.64838759999999,1010.195823
Pontiac,Michigan,1073.0,6.453297696,6,42.6389216,-83.2910468,997.6294761
Rapid City,South Dakota,1040.0,2.086679916,2,44.0805434,-103.2310149,996.7987828
Philadelphia,Pennsylvania,2529.0,38.16433292,15,39.9525839,-75.1652215,993.9909097000001
Niagara Falls,New York,2160.0,19.662646600000002,9,43.0962143,-79.03773879999999,988.6766719000001
Westland,Michigan,1073.0,6.55408642,6,42.324203999999995,-83.400211,982.2879326
Livonia,Michigan,1073.0,6.576984792,6,42.36837,-83.3527097,978.8680076999999
Providence,Rhode Island,2262.0,48.86609168,21,41.8239891,-71.4128343,972.0851079
Camden,New Jersey,2529.0,39.02713888,15,39.9259463,-75.1196199,972.0159123
Jurupa Valley,California,930.0,3.8528841760000003,4,33.9971974,-117.48548020000001,965.510467
Cranston,Rhode Island,2262.0,49.51414578,21,41.7798226,-71.4372796,959.3622035
Ontario,California,930.0,3.8827848130000002,4,34.0633443,-117.65088759999999,958.0752423
Moreno Valley,California,930.0,3.994920827,4,33.9424658,-117.2296717,931.1824091
Riverside,California,930.0,4.001337951,4,33.9533487,-117.3961564,929.6890304
Southfield,Michigan,1073.0,6.959741218,6,42.473368799999996,-83.2218731,925.0343939999999
Brockton,Massachusetts,1861.0,30.55879518,15,42.083433500000005,-71.0183787,913.4849667999999
Troy,Michigan,1073.0,7.314550734,6,42.6064095,-83.1497751,880.1634214
Rochester Hills,Michigan,1073.0,7.360448601,6,42.6583661,-83.14993220000001,874.6749482999999
Chino,California,930.0,4.323242658,4,34.0122346,-117.68894399999999,860.4652327
Pomona,California,930.0,4.34561556,4,34.055103,-117.7499909,856.0352264
