,city,state,area,time,number,score
123,Salt Lake City,Utah,29428,10.25668688,13,37298.98402
192,West Valley City,Utah,29428,11.13868677,13,34345.52097
88,Reno,Nevada,33515,21.26703043,17,26790.52921
168,Lakewood,Colorado,28407,25.99298188,15,16393.07879
20,Denver,Colorado,28407,27.45681925,15,15519.0955
196,Thornton,Colorado,28407,27.95096213,15,15244.73462
53,Aurora,Colorado,28407,30.05228573,15,14178.78839
150,Elk Grove,California,27955,34.05771422,17,13953.81372
34,Sacramento,California,26455,31.6273863,16,13383.33797
158,Fort Collins,Colorado,26060,25.81841735,13,13121.64086
62,Stockton,California,28405,41.07594674,18,12447.43069
41,Colorado Springs,Colorado,25317,25.3509503,12,11983.92945
103,Modesto,California,27205,38.79611588,17,11920.90985
189,Bellevue,Washington,10946,8.125443101,7,9429.885736
19,Seattle,Washington,10946,8.651077081,7,8856.931834
106,Tacoma,Washington,15471,18.63010666,10,8304.300283
144,Vancouver,Washington,16390,22.42740036,10,7308.024888
27,Portland,Oregon,13571,15.92660516,8,6816.769733
101,Spokane,Washington,10920,14.04489908,8,6220.051814
28,Las Vegas,Nevada,2535,0.860160405,2,5894.249457
161,Springfield,Massachusetts,10609,102.7182908,55,5680.536499
130,Worcester,Massachusetts,11351,106.5118732,53,5648.224765
93,North Las Vegas,Nevada,2535,0.964388233,2,5257.218853
98,Boise City,Idaho,8576,10.65907327,6,4827.43656
23,Boston,Massachusetts,10168,99.80830852,46,4686.263167
154,Eugene,Oregon,9789,14.72303673,7,4654.134963
63,Anchorage,Alaska,1640,0.705843424,2,4646.922941
70,Henderson,Nevada,2535,1.239898964,2,4089.042855
197,New Haven,Connecticut,7664,108.4632431,49,3462.334237
33,Fresno,California,7120,14.77335526,7,3373.641202
174,Bridgeport,Connecticut,7232,105.4785903,48,3291.056498
176,Paterson,New Jersey,5182,66.25428908,37,2893.910759
133,Providence,Rhode Island,6068,76.58352383,36,2852.415103
112,Yonkers,New York,5212,71.61128308,38,2765.709417
96,Fremont,California,7170,15.96479822,6,2694.678593
160,Hayward,California,7170,16.17885913,6,2659.025563
9,San Jose,California,7170,16.22213327,6,2651.93235
68,Newark,New Jersey,4870,62.88589294,34,2633.02296
73,Jersey City,New Jersey,4870,63.87830397,34,2592.116411
44,Oakland,California,7082,13.78928343,5,2567.936193
0,New York,New York,4870,65.0689914,34,2544.683672
45,Minneapolis,Minnesota,4172,24.97468657,14,2338.688009
65,St. Paul,Minnesota,4202,27.40291622,15,2300.120159
181,Syracuse,New York,4752,69.3437029,33,2261.431009
31,Albuquerque,New Mexico,4241,16.22540801,8,2091.041407
167,Sunnyvale,California,5170,13.71684443,5,1884.544228
102,Rochester,New York,3083,31.56701091,18,1757.974493
99,San Bernardino,California,930,2.212162386,4,1681.612536
107,Fontana,California,930,2.329665546,4,1596.795732
137,Rancho Cucamonga,California,930,2.474179169,4,1503.528947
4,Philadelphia,Pennsylvania,3047,43.12469485,21,1483.767021
75,Buffalo,New York,2573,25.55431724,14,1409.624826
145,Ontario,California,930,2.773417723,4,1341.305339
109,Moreno Valley,California,930,2.853514877,4,1303.655373
58,Riverside,California,930,2.858098537,4,1301.564642
164,Pomona,California,930,3.104011114,4,1198.449317
122,Grand Rapids,Michigan,2629,46.70396914,21,1182.105098
152,Corona,California,930,3.444609742,4,1079.948174
12,San Francisco,California,2782,8.138943629,3,1025.440202
17,Detroit,Michigan,1694,25.36347982,13,868.2562549
82,Madison,Wisconsin,1470,29.66802002,17,842.321125
185,Fullerton,California,930,4.461547383,4,833.7914362
67,Toledo,Ohio,1804,32.6402683,15,829.037303
55,Anaheim,California,930,4.573179958,4,813.4383589
184,Orange,California,930,4.581357555,4,811.9863938
47,Cleveland,Ohio,1599,25.89426659,13,802.7645783
183,Pasadena,California,930,4.656594224,4,798.8671164
190,Warren,Michigan,1590,25.89749063,13,798.146828
195,Sterling Heights,Michigan,1590,26.01479624,13,794.5478338
56,Santa Ana,California,930,4.823956094,4,771.1512973
155,Palmdale,California,930,4.862262333,4,765.0759554
81,Irvine,California,930,4.917878961,4,756.4236594
135,Garden Grove,California,930,4.93341599,4,754.0414203
117,Akron,Ohio,1289,17.29256392,10,745.4071044
115,Glendale,California,930,5.226494468,4,711.7581436
1,Los Angeles,California,930,5.314240359,4,700.0059743
30,Milwaukee,Wisconsin,1353,33.09876513,17,694.9201854
153,Lancaster,California,930,5.364435044,4,693.4560619
25,Baltimore,Maryland,1856,37.69269451,14,689.364354
111,Huntington Beach,California,930,5.642112264,4,659.3275401
61,Pittsburgh,Pennsylvania,1449,35.55117347,16,652.1303726
35,Long Beach,California,930,5.909304683,4,629.5156875
170,Rockford,Illinois,1110,26.2700597,14,591.5479514
171,Torrance,California,930,6.324934021,4,588.1484277
76,Fort Wayne,Indiana,1483,28.28193372,11,576.7993151
132,Santa Clarita,California,930,6.679823559,4,556.9009371
18,El Paso,Texas,1310,4.903381698,2,534.3251171
136,Oceanside,California,930,7.121664582,4,522.3497902
166,Escondido,California,930,7.627928424,4,487.6815556
177,Naperville,Illinois,1206,39.79269675,16,484.9131015
40,Omaha,Nebraska,795,6.72112282,4,473.1352313
114,Aurora,Illinois,1106,36.41762947,15,455.5485967
157,Salinas,California,1190,8.022815304,3,444.980953
51,Bakersfield,California,1140,7.93666122,3,430.9116775
71,Lincoln,Nebraska,760,5.611638587,3,406.2984393
21,Washington,District of Columbia,1034,29.20778008,11,389.4167913
