ID,name,city,state,addr,zip,night,beginner,max_price,min_price,intermediate,elev,park,advanced,dates,rating,lfits,area,expert,total_runs,link,avg_snowfall
1,49 Degrees North,Chewelah,WA,P.O. Box 166,99109,TRUE,30,55,0,40,3931ft - 5774ft,1,25,12/ 6-4/ 5,3,7,2325,5,82,http://www.onthesnow.com/washington/49-degrees-north/ski-resort.html,301
2,Afton Alps,Hastings,MN,6600 Peller Avenue South,55033,TRUE,42,N/A,N/A,42,1180ft - 1530ft,5,17,11/27-3/27,3,22,250,0,48,http://www.onthesnow.com/minnesota/afton-alps/ski-resort.html,60
3,Alpental,Snoqualmie,WA,POB 1068,98068,TRUE,4,66,12,17,3140ft - 5420ft,0,38,12/12-5/ 5,3,5,825,42,24,http://www.onthesnow.com/washington/alpental/ski-resort.html,429
4,Alpine Mountain,Analomink,PA,PO Box 309,18320,TRUE,24,55,0,38,650ft - 1150ft,1,24,1/ 7-3/13,3.1,5,99,14,21,http://www.onthesnow.com/pennsylvania/alpine-mountain/ski-resort.html,50
5,Alpine Valley,Chesterland,OH,10620 Mayfield,44026,TRUE,33,43,10,34,1260ft - 1500ft,1,33,1/ 3-3/22,2.9,5,72,0,11,http://www.onthesnow.com/ohio/alpine-valley/ski-resort.html,120
6,Alpine Valley Resort,East,WI,P.O. Box 615,53120,TRUE,40,N/A,N/A,40,1020ft - 1260ft,3,20,11/24-3/16,2.9,13,90,0,20,http://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html,80
7,Alpine Valley Ski Area,White,MI,6775 E. Highland Road,48383,TRUE,34,N/A,N/A,36,126ft - 500ft,3,30,11/25-3/15,3,14,100,0,25,http://www.onthesnow.com/michigan/alpine-valley-ski-area/ski-resort.html,20
8,Alta Ski Area,Alta,UT,P.O. Box 8007,84092,FALSE,25,89,0,40,8529ft - 10550ft,0,35,11/20-4/24,3.9,11,2200,0,116,http://www.onthesnow.com/utah/alta-ski-area/ski-resort.html,560
9,Alyeska Resort,Girdwood,AK,P.O. Box 249,99587,TRUE,11,75,25,52,250ft - 2750ft,3,37,11/26-4/19,3.1,9,1610,0,76,http://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,650
10,Andes Tower Hills Ski Area,Kensington,MN,4505 Andes Road Southwest,56343,TRUE,25,39,0,25,1330ft - 1620ft,2,44,11/21-3/29,2.7,4,35,6,16,http://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/ski-resort.html,55
11,Angel Fire Resort,Angel,NM,P.O. Box 130,87710,TRUE,18,N/A,N/A,46,8600ft - 10677ft,2,36,12/11-3/20,3.6,7,560,0,79,http://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html,210
12,Anthony Lakes Mountain Resort,North,OR,47500 Anthony Lake Highway,97867,FALSE,20,35,0,38,7100ft - 8000ft,2,0,12/ 5-4/ 5,3.1,3,1500,42,21,http://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html,300
13,Appalachian Ski Mountain,Blowing,NC,PO Box 106,28605,TRUE,25,60,0,50,3635ft - 4000ft,3,25,11/24-4/ 3,3.1,5,27,0,12,http://www.onthesnow.com/north-carolina/appalachian-ski-mtn/ski-resort.html,50
